FIPS	Geographic Area	Number	Percent Share of State Total	Rank
42001	Adams	"101,407"	0.8%	31
42003	Allegheny	"1,223,348"	9.6%	2
42005	Armstrong	"68,941"	0.5%	38
42007	Beaver	"170,539"	1.3%	20
42009	Bedford	"49,762"	0.4%	45
42011	Berks	"411,442"	3.2%	9
42013	Blair	"127,089"	1.0%	28
42015	Bradford	"62,622"	0.5%	41
42017	Bucks	"625,249"	4.9%	4
42019	Butler	"183,862"	1.4%	19
42021	Cambria	"143,679"	1.1%	25
42023	Cameron	"5,085"	0.0%	67
42025	Carbon	"65,249"	0.5%	40
42027	Centre	"153,990"	1.2%	22
42029	Chester	"498,886"	3.9%	7
42031	Clarion	"39,988"	0.3%	55
42033	Clearfield	"81,642"	0.6%	36
42035	Clinton	"39,238"	0.3%	57
42037	Columbia	"67,295"	0.5%	39
42039	Crawford	"88,765"	0.7%	35
42041	Cumberland	"235,406"	1.9%	16
42043	Dauphin	"268,100"	2.1%	15
42045	Delaware	"558,979"	4.4%	5
42047	Elk	"31,946"	0.3%	59
42049	Erie	"280,566"	2.2%	14
42051	Fayette	"136,606"	1.1%	26
42053	Forest	"7,716"	0.1%	65
42055	Franklin	"149,618"	1.2%	23
42057	Fulton	"14,845"	0.1%	64
42059	Greene	"38,686"	0.3%	58
42061	Huntingdon	"45,913"	0.4%	48
42063	Indiana	"88,880"	0.7%	34
42065	Jefferson	"45,200"	0.4%	49
42067	Juniata	"24,636"	0.2%	61
42069	Lackawanna	"214,437"	1.7%	17
42071	Lancaster	"519,445"	4.1%	6
42073	Lawrence	"91,108"	0.7%	33
42075	Lebanon	"133,568"	1.1%	27
42077	Lehigh	"349,497"	2.8%	11
42079	Luzerne	"320,918"	2.5%	12
42081	Lycoming	"116,111"	0.9%	30
42083	McKean	"43,450"	0.3%	51
42085	Mercer	"116,638"	0.9%	29
42087	Mifflin	"46,682"	0.4%	46
42089	Monroe	"169,842"	1.3%	21
42091	Montgomery	"799,874"	6.3%	3
42093	Montour	"18,267"	0.1%	62
42095	Northampton	"297,735"	2.3%	13
42097	Northumberland	"94,528"	0.7%	32
42099	Perry	"45,969"	0.4%	47
42101	Philadelphia	"1,526,006"	12.0%	1
42103	Pike	"57,369"	0.5%	42
42105	Potter	"17,457"	0.1%	63
42107	Schuylkill	"148,289"	1.2%	24
42109	Snyder	"39,702"	0.3%	56
42111	Somerset	"77,742"	0.6%	37
42113	Sullivan	"6,428"	0.1%	66
42115	Susquehanna	"43,356"	0.3%	52
42117	Tioga	"41,981"	0.3%	53
42119	Union	"44,947"	0.4%	50
42121	Venango	"54,984"	0.4%	43
42123	Warren	"41,815"	0.3%	54
42125	Washington	"207,820"	1.6%	18
42127	Wayne	"52,822"	0.4%	44
42129	Westmoreland	"365,169"	2.9%	10
42131	Wyoming	"28,276"	0.2%	60
42133	York	"434,972"	3.4%	8
